YEARS	1	2	3	4	5	6	7	8	9	10	11	12
1901	7.150.000	5.260.001	9.810.000	1.026.000	3.890.000	5.910.001	5.900.000	8.889.999	1.506.000	1.285.000	4.840.001	1.257.000
1902	7.999.999	7.150.000	6.990.001	5.350.000	1.019.000	5.160.000	4.890.000	8.220.000	8.610.000	7.150.000	4.610.001	1.324.000
1903	9.949.999	4.350.000	8.150.001	1.289.000	5.350.000	5.600.000	9.130.000	1.012.000	7.600.000	1.375.000	1.095.000	4.110.001
1904	9.350.000	1.253.000	8.510.000	3.610.000	7.040.000	6.260.000	4.400.000	4.860.000	7.340.000	6.870.000	9.010.001	1.073.000
1905	7.839.999	5.440.000	1.225.000	5.070.000	5.230.000	1.033.000	7.500.000	8.050.000	1.004.000	9.790.000	1.155.000	4.740.000
1906	1.536.000	7.690.000	1.083.000	3.940.000	9.790.000	5.960.000	7.040.000	7.470.000	3.640.000	6.320.000	1.251.000	1.094.000
1907	7.430.000	5.710.001	6.890.000	6.340.001	7.700.000	7.160.000	8.890.000	5.299.999	4.340.000	1.001.000	6.760.001	1.183.000
1908	5.710.000	1.054.000	7.210.001	6.930.000	1.087.000	6.210.000	9.460.000	1.095.000	7.250.000	7.400.002	8.710.000	4.930.000
1909	6.310.000	4.530.000	8.740.000	6.950.000	3.920.000	9.280.000	1.352.000	6.749.999	9.489.999	1.087.000	6.180.000	1.693.000
1910	1.477.000	1.525.000	2.980.000	5.160.000	7.350.000	1.173.000	1.364.000	6.770.000	8.530.000	4.170.000	2.110.000	1.138.000
1911	3.980.000	6.810.001	8.990.000	4.900.000	4.760.000	8.320.000	2.870.000	1.940.000	5.980.000	9.930.000	1.375.000	1.557.000
1912	1.092.000	8.030.000	1.311.000	3.010.000	5.970.000	7.970.000	5.140.001	1.406.000	9.100.000	1.258.000	9.420.001	1.064.000
1913	1.321.000	4.900.000	8.440.001	6.670.000	8.820.000	8.210.000	9.830.000	3.550.000	8.500.000	6.659.999	1.251.000	1.096.000
1914	9.739.999	7.860.000	1.981.000	5.180.000	8.510.000	8.920.000	8.810.000	8.270.000	1.263.000	4.720.000	8.100.001	1.368.000
1915	1.767.000	8.170.000	6.280.000	7.040.000	5.600.000	3.720.000	1.042.000	1.046.000	5.780.000	3.609.999	1.120.000	2.484.000
1916	1.014.000	1.242.000	8.240.001	9.370.000	8.300.000	1.198.000	6.110.001	9.980.000	1.014.000	1.253.000	7.880.001	1.560.000
1917	8.410.000	1.780.000	9.980.000	7.060.000	5.450.000	1.174.000	9.270.000	1.020.000	2.880.000	1.864.000	8.210.001	4.650.000
1918	1.304.000	5.850.000	6.100.000	1.060.000	5.090.000	4.420.000	1.058.000	7.580.000	1.568.000	7.800.000	6.760.001	1.761.000
1919	9.159.999	9.290.000	1.104.000	9.340.000	2.790.000	4.040.000	1.260.000	3.990.000	7.590.000	5.810.000	1.661.000	2.246.000
1920	1.921.000	4.440.000	6.080.000	1.227.000	6.190.000	3.490.000	1.234.000	6.280.000	8.180.000	4.120.000	2.680.001	9.110.000
1921	1.285.000	1.250.000	3.350.000	2.800.000	5.590.000	4.310.000	1.560.000	6.710.000	3.400.000	2.220.000	6.510.001	7.880.000
1922	1.296.000	9.880.000	9.170.000	1.409.000	3.770.000	5.320.000	1.041.000	1.098.000	1.178.000	7.160.000	1.293.000	1.588.000
1923	8.010.000	1.047.000	7.080.001	4.230.000	1.342.000	6.280.000	6.110.001	7.050.000	8.080.000	2.313.000	1.084.000	1.243.000
1924	7.659.999	5.430.000	7.590.001	1.068.000	1.011.000	5.970.000	1.052.000	1.532.000	9.620.000	1.263.000	9.350.001	5.350.000
1925	1.179.000	9.280.000	6.360.000	7.310.000	6.890.000	4.340.000	1.008.000	1.061.000	1.337.000	9.390.000	1.196.000	2.302.000
1926	1.009.000	1.180.000	5.490.001	4.490.000	1.388.000	8.050.000	9.070.000	6.830.000	3.840.000	1.673.000	1.167.000	6.090.001
1927	1.041.000	9.570.000	9.880.000	9.090.000	5.860.001	1.093.000	1.016.000	1.261.000	1.070.000	3.330.000	1.086.000	8.700.000
1928	1.155.000	1.068.000	4.710.001	1.137.000	5.850.000	7.460.000	4.430.000	7.530.000	4.200.000	1.410.000	1.670.000	1.074.000
