YEARS	1	2	3	4	5	6	7	8	9	10	11	12
1901	5.900.000	7.000.000	6.700.000	9.700.000	1.250.000	1.170.000	1.180.000	1.040.000	8.700.000	7.300.000	6.200.000	6.900.000
1902	4.500.000	6.400.000	8.500.000	9.600.001	9.400.001	1.110.000	1.160.000	9.700.000	9.400.001	6.700.000	5.700.000	7.800.000
1903	5.600.000	7.400.000	9.500.000	7.800.000	1.130.000	1.080.000	1.050.000	9.500.000	9.800.000	6.800.000	5.000.000	6.300.000
1904	5.100.000	5.599.999	7.400.000	9.900.001	1.100.000	1.140.000	1.330.000	1.160.000	9.000.000	7.400.000	5.300.000	7.200.000
1905	5.500.000	5.700.000	7.500.000	9.200.000	1.070.000	1.150.000	1.160.000	1.010.000	7.800.000	6.200.000	5.200.000	6.800.000
1906	5.300.000	5.800.000	8.000.000	1.050.000	9.900.001	1.020.000	1.070.000	1.080.000	1.070.000	8.400.001	5.400.001	7.500.000
1907	5.100.000	5.700.000	8.500.000	9.500.000	1.120.000	1.010.000	1.000.000	1.080.000	1.150.000	7.400.000	5.900.001	7.400.000
1908	6.700.000	5.500.000	7.500.000	8.900.001	9.800.000	1.120.000	1.080.000	9.300.000	9.900.001	9.800.000	7.000.000	6.700.000
1909	6.000.000	6.800.000	7.100.000	1.090.000	1.220.000	1.020.000	9.100.000	1.060.000	9.200.000	7.900.000	5.600.000	7.600.000
1910	4.900.000	6.200.000	9.400.001	1.000.000	1.060.000	1.020.000	9.100.000	9.900.001	8.900.001	8.100.000	5.400.001	7.500.000
1911	4.200.000	6.600.000	8.500.000	1.080.000	1.100.000	1.090.000	1.330.000	1.230.000	1.110.000	8.100.000	5.400.001	7.400.000
1912	4.900.000	7.600.000	7.400.000	1.070.000	1.140.000	1.080.000	1.160.000	8.300.000	8.400.001	8.400.001	4.800.001	7.700.000
1913	4.900.000	7.900.000	8.200.000	9.800.000	1.060.000	9.800.000	9.299.999	1.030.000	9.700.000	8.500.000	4.800.001	6.800.000
1914	5.600.000	8.000.000	6.800.000	1.130.000	9.400.001	1.070.000	1.020.000	1.060.000	9.600.000	7.100.000	5.300.000	7.900.000
1915	4.300.000	6.400.000	7.000.000	1.020.000	1.170.000	1.240.000	1.100.000	9.800.000	1.030.000	7.300.000	5.700.000	7.800.000
