YEAR	1	2	3	4	5	6	7	8	9	10	11	12
1833	-2.9	5.2	2.2	7.9	15.2	16.5	16.3	14.1	12.5	9.6	4.6	5.6
1834	6.5	3.2	6	7	14.4	16.7	19.7	18.8	16.1	10.9	5.6	3.9
1835	3	4.9	4.4	7.9	11.3	15.7	17.7	17.3	14.3	9.1	4.2	0.6
1836	1.9	2.6	7.9	7.3	9.8	16.4	17.1	16	13	11	5.9	2.9
1837	1.2	3.5	1.3	4.5	9.5	15.7	16.2	18.1	12.5	10.7	4.5	3.4
1838	-6.7	-1	5	5.9	12	15.1	16.8	15.6	13.9	9.9	4.9	1.6
1839	1.5	3	3.8	5.2	11.3	16.8	17	15.4	14.6	10.4	6.9	4.3
1840	2.3	2.2	1.7	9.5	12.4	15.5	15.2	16.7	13.2	8	6.8	-3.4
1841	0.1	-0.3	7.8	8.6	15.5	13.5	14	15.8	16	9.9	5	3.7
1842	-2.9	3.2	5.7	6.9	12.9	16.4	16	19.9	13.8	7.4	3.3	3.4
1843	2.2	1.4	5	8.8	11.6	14	16.1	17.5	15.2	9.6	6	3.7
1844	0.8	0.5	4.2	10.5	11.3	15.4	15.4	14.1	14	9.2	5.8	-2.7
1845	1.1	-3.4	-1.6	8.6	9.7	16.1	16.5	14.4	12.2	9.9	6.8	3.8
1846	4.1	5.5	6.1	8.9	12.1	18.4	18.5	19.2	15.7	10.5	4.6	-2.7
1847	-1.4	0.5	3.8	5.5	14.1	14.2	18.6	17.9	12	9.8	6.8	1.4
1848	-3.9	4.6	5.8	10	13.1	16.1	16.7	15.5	13	10.7	5	3.8
1849	1.7	4.5	3.8	7.5	13.2	15.8	16.3	15.7	14.1	9.6	4.3	1.3
1850	-3.4	4.7	2.7	9.6	11	15.9	16.5	15.7	12.3	7.2	6.8	2.5
1851	3.7	2.5	5.1	8.4	10.2	15.7	16.6	17.1	12.6	10.6	2.4	2.3
1852	3.8	3	3.2	6.3	12.3	14.8	20.4	17.9	14.2	8.4	9.1	6.6
1853	4.4	-0.6	0.8	7.4	11.9	16.1	17.8	16.6	14.1	10.8	3.7	-3.6
1854	1.8	2	5.6	9.1	11.4	14.2	16.9	16.3	14.1	9.8	3.8	3.7
1855	-1.5	-4.8	2.7	6.8	10.2	14.9	16.9	17.3	13.7	11.2	3.4	-0.6
1856	3.1	4.2	3.3	8.8	10.8	15.6	15.8	18.5	12.8	10.4	2.6	3.1
1857	0.5	2.1	4.6	7.9	12.9	16.7	18.6	19.5	16.1	11.4	5.7	4
1858	-0.1	-0.3	3.3	8.7	10.7	19.5	16.3	17	15.9	9.8	0.8	2.9
1859	2.5	4.6	7	8.1	12.7	17.1	20.1	18.2	14.2	11.2	3.7	-0.6
1860	3.4	-0.4	3	6.3	12.8	14.4	15	14.8	12.7	9.7	2.6	0.4
1861	-3.5	4.6	5.8	6.5	10.6	16.6	16.8	17.8	13.9	11.2	4.4	2.4
1862	1	3.4	7.6	10.2	14.6	14.3	16	16.3	14.7	11.3	4.1	4.2
1863	3.6	3.7	5.7	9.4	11.5	15.4	16.1	17.9	12.6	11.6	5.5	4.3
1864	-1.1	0.1	5.7	7.7	11.6	14.8	16.3	15.2	14.1	8.7	3	-1
1865	0.8	-0.2	1	11.7	15.6	15.2	18.5	16.3	16.6	10.7	6.7	2.3
1866	4.7	4.8	4.3	9.9	9.1	17.1	16.5	15.1	14.3	9.4	6.3	3.6
1867	0	6.3	2.7	9.1	12.6	15.1	15.6	17.2	14.8	9.3	4.9	-0.1
1868	-0.3	4.6	6	8.3	15.7	16.8	19.1	18	15.2	8.8	4	6.7
1869	1.6	6.7	2.3	10.9	11.7	12.7	18	15.3	15	8.8	5.4	1
1870	1.6	-1.2	3.4	8.8	11.9	15.1	18.3	15.8	12.7	9	4.7	-2.1
1871	-2.9	3.4	6.6	8.1	10	12.7	16.7	17.6	14.7	7.9	1.6	-0.9
1872	3.2	5.8	6.8	9.2	11	15.2	18.8	16.5	14.2	9.5	6.9	5.3
1873	4	0	5.8	7.7	10	15.5	18.2	17.2	12.6	9.9	5.5	2.8
1874	3.4	2.3	5	9.6	9.8	15.1	18.6	15.8	14.9	10.8	3.8	-0.9
1875	3.5	-0.6	3	7.8	13.5	15.5	16.5	17.8	15.2	8.3	4.3	0.6
1876	-1.2	3	5	8.6	9	15.1	18.2	18.1	12.9	11.4	5.1	5.1
1877	4.8	5.4	3.8	7.7	10.1	17.8	16.9	17.2	11.8	8.7	7.1	2.2
1878	1.5	3.7	4.1	9.7	13	15.7	16.6	17.2	14.3	9.9	3.7	-0.2
1879	-1.8	1.7	4.1	6.6	9.4	15.2	14.6	16.7	13.9	9.1	2.6	-5.9
1880	-1.5	4.3	6.7	8.8	11.6	14.2	17.1	18.1	15.2	8.5	4.5	5.5
1881	-3.3	2.5	5.3	7	12.1	14.8	18.7	15.5	13.4	6.1	8.1	2
1882	1.8	3.7	7.3	8.3	12.3	13.6	16.1	15.2	13.2	10.4	5.4	2.8
1883	2.4	4.8	0.8	8.2	12.4	15.9	16	16.7	13.7	9.6	5.5	2.4
1884	4.5	4.4	6.2	7	12.5	13.3	18.4	18.4	15.2	8.8	3.7	2.7
1885	-1	5.7	3.4	9.2	9.7	15.9	17.1	15	13.1	7.7	4.1	1.1
