YEAR	1	2	3	4	5	6	7	8	9	10	11	12
1890	124.4	5.3	72.8	76.5	50.7	66.9	103.3	132.6	39.1	95.4	150.4	11.7
1891	41.8	7.2	117.7	37.1	126.2	128.9	90.1	78.3	56.3	42.1	56.5	137.8
1892	69.6	46.8	83.8	29.6	13.4	38.1	59.8	28.2	177.9	119	43.7	61.8
1893	67.5	142.9	12.8	0.7	29	33.1	105.4	42.4	68.6	167	76.5	89.2
1894	144.5	69	47.6	32.6	38.7	96.4	100	102.2	95.3	127.2	82.9	88.8
1895	66.8	-999.9	-999.9	42.4	38	79.3	146.5	66.1	0.6	92.1	103.7	141.8
1896	24.7	15.7	133.3	43.9	8.3	23.3	50.5	82	135.6	147.7	43.1	82.8
1897	26.4	77.6	90.9	103.1	30.4	72.8	43.8	93.5	77.2	12.7	46.6	88.3
1898	17.2	75.8	53.8	21.7	172.3	42.5	25.8	72.4	18.6	59.2	51.8	59.2
1899	137.1	36	35.2	122.1	44.3	58.4	44.8	21.2	106.2	41	39.7	93.6
1900	99.2	140	10	19.2	32.4	91.4	43.2	54.6	36.5	103.4	66.4	103.4
1901	56.9	42.2	103.7	73.4	35.9	64	32.5	34.4	92.1	78.6	34.8	109.2
1902	56.8	58	55.7	62.2	74	68.6	67.5	113.4	98.9	64.7	28.2	69.6
1903	64.3	60.8	87.5	93.6	45.4	84.7	70.9	86.8	53.6	135.8	80.3	37.8
1904	55.8	116.3	67.9	20	53.4	80.1	17.4	52.7	67.8	55.9	53.2	110.7
1905	64.6	37.3	121.9	48.3	105.3	64.4	128.6	82	102	69.6	127.4	40.3
1906	136.8	93.7	76.2	46.1	92.3	72.5	38.7	67	49.3	111.4	101.5	65.6
1907	49.5	50.1	47.6	83.4	111.6	83.8	74.1	53.4	26.6	93.8	54.6	93
1908	62.8	101.5	71.2	46.5	84.8	65.3	104.2	118.2	27	5.9	66	57.9
1909	41.1	19.7	124.1	61.9	68.8	115.7	132.1	79.4	54.6	103.7	55.7	148.9
1910	117.7	158.4	22.4	78.8	73.9	130	131.4	36.9	91.4	52.1	185.4	91.8
1911	30.1	63.5	91.2	55.3	57.8	74.5	21.5	20.8	52.4	109.3	143.1	145.1
1912	75.3	80.2	109.7	22.4	55.6	84.3	60	145.1	59.6	73.9	87.7	86.8
1913	128	39	78.9	66.5	69.5	93.7	60.8	78.7	130.8	62.4	105.7	77
1914	81.1	80.8	191.2	60.8	77.3	72.9	58.3	72.1	69.7	39.4	73.2	172.1
1915	134.1	93.8	26.2	77.4	129.4	19.9	92.6	83.2	68.4	21.1	150.6	253.6
1916	80.8	120.3	62.4	101	80.6	92.4	86	77.2	70	138.6	82.1	138.8
1917	91.5	11.2	77.2	99.1	45.6	113.2	83.7	101.1	29.8	164.2	92.2	35.3
1918	98.8	61.5	56.7	76.4	72.2	29.8	80.9	78.1	120.7	46.8	60.1	142.9
1919	103	80.9	116.3	96.8	26.2	11.3	87.8	37	67	45.2	145.3	180.9
1920	169.4	30.3	60.8	118.6	91.5	39.6	157.2	63.2	58.4	51.5	38.9	84.8
1921	100.9	3	40.8	27.2	30.2	18.3	1.2	61.8	16.7	14.5	45.8	68.1
1922	114	82.6	76.5	120.1	15.4	82.1	75.4	124	93	62.4	99.4	129.2
1923	67.5	113.6	88	43	151.2	46.5	64.4	45	97.8	188	89.8	133.5
1924	64.7	35.4	59.1	115.6	115.9	55.4	81.7	130.5	59.5	175.3	65.9	75.9
1925	95.4	90.8	62.6	61.9	93.5	39.6	143.6	74.2	72.1	85.5	107.7	198.3
1926	79.8	110.2	47.2	54.4	93.6	79.2	91.6	77.9	38.4	171.5	91.5	40.8
1927	95	69.5	90.3	83.8	35	143.9	105.8	155.2	90.8	38.9	72.4	92.6
1928	111.8	113.2	47.8	104.1	68.5	102.2	45.8	71.9	38.8	156.7	152.8	91
1929	24.3	19.2	0.8	50.7	47.8	101.2	59.5	31.7	15.9	179.4	134.8	196.6
1930	75.4	16.2	53.1	40.8	136.9	44.3	199.9	135.1	114.8	137.5	231.3	95.3
1931	195.8	117.3	12.9	111.9	84.7	56.3	136	204.8	43.1	60.5	69.5	61.4
1932	81.1	12.4	68.9	114.5	64.4	65.6	106.7	40	135.9	258.4	54	32.5
1933	48.5	63	52.3	14.2	101	69.9	75.6	48.8	46.8	75.4	47.7	7.4
1934	105.3	6.6	82.9	85.3	14.1	85.1	38.9	60.8	75	92.4	65.9	189.1
1935	82.6	144	32.8	130.7	44.6	129.2	7.4	61.7	126.6	91.5	93.1	119.1
1936	173	68.6	28.2	112.2	9.6	88.2	150.7	55.2	94.4	91.3	128.3	69.8
1937	166.1	189.8	124	153.7	103	45.2	87.2	83.6	134.1	61.7	35.2	104.7
1938	230.1	53.8	26.1	26	88.5	24.6	105.4	58	51.4	119.1	115.7	74.2
1939	306.1	95.3	98.9	104.1	44.2	64.9	83.5	127	49.3	139.4	269.1	31.4
1940	48.8	54.8	110.1	100.8	46.9	24.5	100.9	98.7	80.7	49.8	186.8	125.3
1941	69.7	129.2	97.7	46.9	85.5	135.2	104.8	172.1	18.1	143.4	42.3	121.7
1942	86.9	44.3	49.4	24.2	104.8	30.9	131	49.8	56	89.3	51	68.5
1943	107	48.2	19.5	45.5	62.4	104.2	44.8	68.2	71.3	22.9	107.1	70
1944	82.5	51.4	25	31.9	31.8	72.9	71.7	72.7	102.6	123.9	183.9	103
1945	78.3	133.3	48.6	65.1	122.6	81.8	26.5	128.6	103.8	36.6	57	96
1946	116.6	223	45.2	66	107.5	100.5	36.6	81.2	73	48.1	96.6	110.5
1947	53.4	37.2	153.1	125.6	33.5	109.3	97.8	46.8	40.7	24	125.9	184.3
1948	249.8	74.4	44.6	159.2	87.8	130.6	167.7	108.6	134.7	58.3	74.3	126.1
1949	61.5	69.4	78.4	64	90.9	32.5	19.9	120.3	78.5	77	96.7	116.7
1950	69	192.5	54	118.9	100.1	51.6	99.6	54.5	156.5	47.9	209.2	180.6
1951	154.1	103.5	145.6	114.3	98.7	179.3	66.4	131.6	98	36.4	190.1	133.6
1952	251.1	95.2	107.2	38.3	60.1	46.4	62.5	146.5	149	153	186.7	195.7
1953	30.8	108.4	8.7	77.7	60.8	101	126.1	56.5	96.6	21.2	36.1	42.2
1954	97.9	57.2	73	48.4	75.9	99.8	148.9	171.4	135.4	84.2	104.3	103.8
1955	115	102.9	26.3	16.5	150.6	85.3	66.7	66.6	77.1	50.5	43.7	186.7
1956	111.6	47	105.2	75.4	62.2	99.8	58.9	128.6	77.5	156.1	101.7	94.2
1957	86.1	237.1	75.2	99.3	59.9	143.6	129	148	194.8	65.5	75.7	80.1
1958	131.1	226	46	89.3	113.8	89.3	89.8	205	105	104.2	66.8	171.6
1959	108.1	6.3	86.6	100	44.6	51.9	83.9	41.3	13.2	87.6	91.1	120.8
1960	87.9	69.2	62.1	49.2	57.9	126.8	132.6	109.9	84.8	150.5	155.3	127.1
1961	196.2	113.8	31.1	75.9	70.3	97.5	109.2	62.5	76.5	154	118.2	128.5
1962	153.4	126.6	104.3	105.8	97.5	13.8	101.9	90.3	108.8	56.9	47.4	121.1
1963	39.9	23.9	95.9	47.4	101	136.4	35	155.2	67.9	95.6	223	17.6
1964	37.9	29.3	66.9	68.5	30.5	77.9	42.7	71.1	54.9	123.5	130.5	102.5
1965	150.6	28	92.8	114.1	100.5	70.3	164.9	128.5	100.1	33.2	140.8	277.5
1966	69.9	113.5	82	139.5	91.2	112.4	114.3	94	47.5	162.9	117.2	269.6
1967	60.6	92.8	70.6	65.2	101.5	15.5	67.6	101.3	81.7	154.2	112.9	131.1
